dates,open_shrublands_mean,open_shrublands_sd
2020-03-29,NA,NA
2020-04-06,NA,NA
2020-04-14,NA,NA
2020-04-22,NA,NA
2020-04-30,NA,NA
2020-05-08,0.0033,0.001538
2020-05-16,0.007625,0.000624
2020-05-24,0.022575,0.002621
2020-06-01,0.016275,0.007599
2020-06-09,0.02685,0.004148
2020-06-17,0.01415,0.000919
2020-06-25,0.0194,0.011139
2020-07-03,0.016767,0.007204
2020-07-11,0.02495,0.005404
2020-07-19,0.020433,0.015539
2020-07-27,0.0295,0.001007
2020-08-04,0.0294,0.000952
2020-08-12,0.019425,0.001843
2020-08-20,0.020975,0.001056
2020-08-28,0.008775,0.000925
2020-09-05,0.009425,0.001524
2020-09-13,0.007775,0.001084
2020-09-21,0.00265,0.000597
2020-09-29,0.001675,0.000714
2020-10-07,NA,NA
2020-10-15,NA,NA
2020-10-23,NA,NA
2020-10-31,NA,NA
2020-11-08,NA,NA
2020-11-16,NA,NA
2020-11-24,NA,NA
2020-12-02,NA,NA
2020-12-10,NA,NA
2020-12-18,NA,NA
2020-12-26,NA,NA
2021-01-01,NA,NA
2021-01-09,NA,NA
2021-01-17,NA,NA
2021-01-25,NA,NA
2021-02-02,NA,NA
2021-02-10,NA,NA
2021-02-18,NA,NA
2021-02-26,NA,NA
2021-03-06,NA,NA
2021-03-14,NA,NA
2021-03-22,NA,NA
2021-03-30,NA,NA
2021-04-07,NA,NA
2021-04-15,NA,NA
2021-04-23,3e-04,NA
2021-05-01,0.0023,7e-04
2021-05-09,0.005775,0.001144
2021-05-17,0.010625,0.001181
2021-05-25,0.0064,0.00108
2021-06-02,0.01455,0.001666
2021-06-10,0.03475,0.003287
2021-06-18,0.0433,0.004226
2021-06-26,0.054725,0.003138
2021-07-04,0.04535,0.002876
2021-07-12,0.04065,0.002709
2021-07-20,0.040475,0.002936
2021-07-28,0.0421,0.003426
2021-08-05,0.02085,0.001448
2021-08-13,0.017625,0.000896
2021-08-21,0.006533,0.003581
2021-08-29,0.0127,0.002232
2021-09-06,0.0116,0.00103
2021-09-14,0.00485,0.00079
2021-09-22,NA,NA
2021-09-30,NA,NA
2021-10-08,NA,NA
2021-10-16,NA,NA
2021-10-24,NA,NA
2021-11-01,NA,NA
2021-11-09,NA,NA
2021-11-17,NA,NA
2021-11-25,NA,NA
2021-12-03,NA,NA
2021-12-11,NA,NA
2021-12-19,NA,NA
2021-12-27,NA,NA
